,text,created_at,lang
0,"RT @ThrivinNews: iPhone 14 Pro / Pro Max may feature USB-C port, claims report
https://t.co/mjosVkvTt9

#apple #ios #tech #latest #iphone #…",2021-11-19 22:48:08+00:00,en
1,"RT @ThrivinNews: iPhone 14 Pro / Pro Max may feature USB-C port, claims report
https://t.co/mjosVkvTt9

#apple #ios #tech #latest #iphone #…",2021-11-19 22:48:07+00:00,en
2,"RT @ThrivinNews: iPhone 14 Pro / Pro Max may feature USB-C port, claims report
https://t.co/mjosVkvTt9

#apple #ios #tech #latest #iphone #…",2021-11-19 22:48:07+00:00,en
3,"RT @ThrivinNews: iPhone 14 Pro / Pro Max may feature USB-C port, claims report
https://t.co/mjosVkvTt9

#apple #ios #tech #latest #iphone #…",2021-11-19 22:48:05+00:00,en
4,"RT @DuckDuckGo: Even if you've asked Facebook not to track you in your iPhone privacy settings, ""FB is using the accelerometer on your iPho…",2021-11-19 22:48:04+00:00,en
5,"iPhone 14 Pro / Pro Max may feature USB-C port, claims report
https://t.co/mjosVkvTt9

#apple #ios #tech #latest #iphone #iphone14 #business #seo #programming #coding #100daysofcode #javascript #indie #indiedev #buildinpublic",2021-11-19 22:48:00+00:00,en
6,"Apple still remains using the design from the iPhone X to the iPhone 13 although there have been a few changes starting with the iPhone 12.

 Even so, the DNA for the iPhone still matches the iPhone X. https://t.co/wZXa4coa0O",2021-11-19 22:47:55+00:00,en
7,RT @jameswaldo2020: Check out this iPhone game I'm playing called Soccer Boss https://t.co/vX3SAQSLWo,2021-11-19 22:47:44+00:00,en
8,"RT @taadelodun: On the 22nd of March 2020, Apple shares were trading at $53 per share. Today Apple reached an All Time High of $160 per sha…",2021-11-19 22:47:44+00:00,en
9,"RT @JFrusci: Even with Apple's help, repairing your iPhone is going to be tricky and risky  https://t.co/nkUKlq9Yso via @ZDNet",2021-11-19 22:47:40+00:00,en
10,Check out this iPhone game I'm playing called Soccer Boss https://t.co/vX3SAQSLWo,2021-11-19 22:47:39+00:00,en
11,"RT @AlisonRivers19: Apple is constantly upgrading its technology, making sure your phone is as fast, smart, secure, and powerful as it can…",2021-11-19 22:47:36+00:00,en
12,"Even with Apple's help, repairing your iPhone is going to be tricky and risky  https://t.co/nkUKlq9Yso via @ZDNet",2021-11-19 22:47:35+00:00,en
13,It’s already too late for @Meta. The axe is at the tree. Anyone with an iPhone can see @Apple has already prepared for the Post Facebook era. @MagicLeap has respect. Glasses and headsets or haptic suits will not scale or be practical for use in a multi-verse...,2021-11-19 22:47:10+00:00,en
14,"RT @WorldBeatRadio: #OnAirNow II  Sarz Ff. Zlatan - Ma Lo Wa I African Top Hits Show I Download App:
iPhone: https://t.co/A0kREUENQz
Androi…",2021-11-19 22:47:10+00:00,en
15,"#OnAirNow II  Sarz Ff. Zlatan - Ma Lo Wa I African Top Hits Show I Download App:
iPhone: https://t.co/A0kREUENQz
Android: https://t.co/Yck2G1F2G0",2021-11-19 22:47:05+00:00,en
16,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:46:53+00:00,en
17,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:46:33+00:00,en
18,"Estas Escuchando la #1 en REGAETTON Now playing on LMM REGGAETON RADIO: Hablamos Mañana by Bad Bunny,Duki,Pablo Chill-E! Tune in now: 
Android App https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",2021-11-19 22:46:20+00:00,en
19,"SAMSUNG WAS NEVER LET ME DOWN 
#iPhone 
#Apple 
#GalaxyZFlip3 
#iPhone13 
#Android12 
#OPPOA95 
#Pixel6 
#JumiaBlackFriday 
#Pixel6Pro 
#GalaxyZFold3 
#Qoo10 
#Huawei 
#FreeFireShowdown 
#Microsoft 
#Google https://t.co/cI5qg4Kwtu",2021-11-19 22:46:07+00:00,en
20,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:46:06+00:00,en
21,RT @textually: Why Apple changed its mind on Right to Repair | Engadget https://t.co/YpqPEDaYLv,2021-11-19 22:46:06+00:00,en
22,"RT @Ivtala: If you had chance to buy apple tokens just before iPhone were introduced what  would you do? Ha? Exactly!
Here’s the same with…",2021-11-19 22:46:02+00:00,en
23,"Estas Escuchando la mas En Variedad Now playing on LMM RADIO: Fulanito by Becky G,El Alfa! Tune in now. 
Android App
https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",2021-11-19 22:46:01+00:00,en
24,Why Apple changed its mind on Right to Repair | Engadget https://t.co/YpqPEDaYLv,2021-11-19 22:46:01+00:00,en
25,"Even with Apple's help, repairing your iPhone is going to be tricky and risky  https://t.co/WOy9t2Vgmo",2021-11-19 22:45:17+00:00,en
26,[iOS] Slay ($3.99 to Free) #iphone #AppStore #ipad #app #Apple #iOS #iTunes https://t.co/DtR3j5C8iG,2021-11-19 22:45:16+00:00,en
27,"[Smiles] iPhone 13 Apple  Rosa - Shopping Smiles R$ 6021,00 #desconto #oferta #promocao #iphone https://t.co/OouXZKwn3S",2021-11-19 22:45:04+00:00,en
28,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:44:10+00:00,en
29,"RT @Whitestone_DE: [Dome Case] Scope Case for Apple iPhone 13 Pro Max https://t.co/nv1cgFwnK7… #Amazon

Whitestone is innovation.
Dome is p…",2021-11-19 22:44:08+00:00,en
30,"[Dome Case] Scope Case for Apple iPhone 13 Pro Max https://t.co/nv1cgFwnK7… #Amazon

Whitestone is innovation.
Dome is perfect protection.
EZ is easy and cheap.

SHOP: Whitestone https://t.co/aveq5JEHBE 
amazon https://t.co/ZNWSEY02zi
#docomo #mobilefun https://t.co/EjDwTyv4Yk",2021-11-19 22:44:03+00:00,en
31,"RT @sageuk: It's competition time!

Celebrate the launch of our latest episode with @CarlReader for the chance to WIN an iPhone and AirPods…",2021-11-19 22:43:56+00:00,en
32,"RT @ormacheatuco: US $399 +57 shipment| Original #New Unlocked #Apple iPhone X Face ID 64GB/256GB ROM 5.8"" 3GB RAM 12MP Hexa Core iOS A11 D…",2021-11-19 22:43:39+00:00,en
33,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:43:30+00:00,en
34,"RT @Ivtala: If you had chance to buy apple tokens just before iPhone were introduced what  would you do? Ha? Exactly!
Here’s the same with…",2021-11-19 22:43:24+00:00,en
35,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:43:20+00:00,en
36,"@slye Androind &gt; iPhone imo.

Android does not lock you out of your phone if you forgot your apple id password.",2021-11-19 22:43:16+00:00,en
37,@inqdragon2 My iPhone box. My Apple Watch box.  I know i don’t need them but they are so lovely.,2021-11-19 22:42:51+00:00,en
38,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:42:44+00:00,en
39,"@Apple iphone per tax lagao asap, i have seen in hands of too many ""gareeb"" students in my university",2021-11-19 22:42:32+00:00,en
40,"Most popular brands for Apple Iphone 11 Case on Brandlists are #Apple, #HeadCaseDesigns, #dessana. Visit https://t.co/AjNFSq7Ea7 for more.",2021-11-19 22:42:10+00:00,en
41,"@PHLPhamily That you can't add different fonts to use, add UI themes, no 3rd party apps (one example is like YouTube Vanced) unless you jailbreak your phone. Apple used to slow down their phones on purpose so you can get their new iphone... not sure if they still do that now tho.",2021-11-19 22:41:16+00:00,en
42,RT @lravalentino: Any iPhone users (iPhone XR and above) on my TL - adding a card in the Wallet settings as your “Express Travel Card” mean…,2021-11-19 22:41:16+00:00,en
43,"RT @krolzuko: WTF @Apple?! I just bought my first MacBook (air M1) 6 days ago, and the display just cracked by itself! There’s a lot of art…",2021-11-19 22:41:01+00:00,en
44,RT @54Rsada: AYWFEY 16 Pieces SIM Card Removal Openning Tool Tray Eject Pins Needle Opener Ejector Compatible with All iPhone Apple iPad HT…,2021-11-19 22:40:38+00:00,en
45,AYWFEY 16 Pieces SIM Card Removal Openning Tool Tray Eject Pins Needle Opener Ejector Compatible with All iPhone Apple iPad HTC Samsung Galaxy Cell Phone Smartphone Watchchain Link Remover https://t.co/lXzRG7dPwd,2021-11-19 22:40:33+00:00,en
46,What Apples self-service plan means for DIY and third-party repair - The Verge https://t.co/iQMXqrfOYw,2021-11-19 22:40:27+00:00,en
